method,split,family,density,outcome,manifest_episode_count,valid_episode_count,excluded_episode_count,scenario_count,seed_count,outcome_count,outcome_rate,rate_denominator,episode_duration_s_mean,navigation_time_s_mean,spl_mean,path_length_m_mean,min_human_distance_m_mean,personal_space_violation_ratio_mean,discomfort_time_s_mean,emergency_stop_count_mean,recovery_trigger_count_mean,recovery_success_rate_mean,recovery_duration_s_mean,intervention_ratio_mean,mean_abs_angular_jerk_rad_s3_mean
base,test,blind_corner,high,GOAL_REACHED,5,5,0,5,5,1,0.2,valid_episodes,89.0775,89.0775,0.9565143532846644,20.836429643814526,0.7455307719588731,0.11252336448598121,5.794200000000004,0.0,0.0,,0.0,0.07514018691588814,0.8370118237285123
base,test,blind_corner,high,COLLISION,5,5,0,5,5,4,0.8,valid_episodes,60.88905,60.88905,0.0,14.596693193747372,0.7170883509563457,0.14299484387398007,4.920074999999997,0.0,0.0,,0.0,0.03286336681505864,0.9361154161784622
base,test,blind_corner,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,blind_corner,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,blind_corner,low,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,88.65569999999998,88.65569999999998,0.9581297662743852,20.801474545733143,1.3150020881392377,0.0,0.0,0.0,0.0,,0.0,0.05543712085694735,0.7887308178702125
base,test,blind_corner,low,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,66.33359999999999,66.33359999999999,0.0,15.878336609292111,1.3302924909437128,0.0,0.0,0.0,0.0,,0.0,0.06184400995149315,0.8999103863689099
base,test,blind_corner,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,blind_corner,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,blind_corner,medium,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,88.9887,88.9887,0.9552229450606585,20.864635017972333,0.9365399450721168,0.07184931472373222,2.397599999999997,0.0,0.0,,0.0,0.025578160984165214,0.7617780347612193
base,test,blind_corner,medium,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,66.36689999999999,66.36689999999999,0.0,15.854221576776133,2.3106599611131298,0.0468986384266264,1.1988000000000056,0.0,0.0,,0.0,0.023908287845589068,0.874276768112977
base,test,blind_corner,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,blind_corner,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,blind_corner,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,high,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,92.0301,92.0301,0.9815484409290033,21.39763152893619,0.9456698101788388,0.05302078522243008,1.6428,0.0,0.0,,0.0,0.01529604635976888,0.4125794302971066
base,test,crossing_flow,high,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,27.555749999999996,27.555749999999996,0.0,6.550340518181862,0.7059557900855016,0.0833698433283094,1.598399999999998,0.0,0.0,,0.0,0.025979782225182078,0.015670773637799663
base,test,crossing_flow,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,low,GOAL_REACHED,5,5,0,5,5,4,0.8,valid_episodes,95.75415000000001,95.75415000000001,0.9450249932229133,22.376274902752144,0.8391441483601573,0.0783514965768127,4.245749999999999,0.0,0.0,,0.0,0.032052218758479266,0.1706823867870572
base,test,crossing_flow,low,COLLISION,5,5,0,5,5,1,0.2,valid_episodes,28.4382,28.4382,0.0,6.64205265045166,0.7099557247543156,0.0983606557377048,2.231099999999998,0.0,0.0,,0.0,0.0035128805620609485,3.7428810121482765e-08
base,test,crossing_flow,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,medium,GOAL_REACHED,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,medium,COLLISION,5,5,0,5,5,5,1.0,valid_episodes,26.346960000000003,26.346960000000003,0.0,6.235750335664024,0.6873294253422386,0.08296886320033856,1.2986999999999995,0.0,0.0,,0.0,0.03344434057801676,0.12845369054840883
base,test,crossing_flow,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,crossing_flow,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,crossing_flow,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,high,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,72.21437999999999,72.21437999999999,1.0,16.845712852478027,0.8224341151656608,0.15039907692597396,8.24508,0.0,0.0,,0.0,0.016069223673372712,3.995274802530966e-08
base,test,doorway_bottleneck,high,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,low,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,72.22770000000001,72.22770000000001,1.0,16.89280621210734,0.7900624811671974,0.06967346407075851,3.596399999999998,0.0,0.0,,0.0,0.03267597439580048,4.437702781387116e-08
base,test,doorway_bottleneck,low,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,19.763550000000002,19.763550000000002,0.0,4.722308155877252,0.7083679871982972,0.10534321195442031,1.6982999999999997,0.0,0.0,,0.0,0.0,0.0838155186414673
base,test,doorway_bottleneck,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,medium,GOAL_REACHED,5,5,0,5,5,4,0.8,valid_episodes,73.21005,73.21005,0.9984386186279282,16.975289664123796,0.769738622303057,0.08198245034241741,4.81185,0.0,0.0,,0.0,0.04240832749862125,0.1836658404651695
base,test,doorway_bottleneck,medium,COLLISION,5,5,0,5,5,1,0.2,valid_episodes,20.412900000000004,20.412900000000004,0.0,4.791913073755279,0.6947089169665266,0.08482871125611745,1.531800000000004,0.0,0.0,,0.0,0.09787928221859693,4.195613510182129e-08
base,test,doorway_bottleneck,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,doorway_bottleneck,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,high,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.18405999999999,89.18405999999999,1.0,20.887324832100827,1.0300783254405566,0.06108182078211184,1.0855799999999989,0.0,0.0,,0.0,0.025845123874784177,4.184870416086782e-08
base,test,group_blocking,high,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,low,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,88.97094,88.97094,1.0,20.879802420651977,1.0300998844913452,0.05688616543698223,1.1188800000000014,0.0,0.0,,0.0,0.053224474076616735,0.00771774293409911
base,test,group_blocking,low,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,medium,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.05086,89.05086,1.0,20.908725008994406,1.0300504622310591,0.06281284235803865,1.1188800000000014,0.0,0.0,,0.0,0.03380416119945858,0.003534995508924847
base,test,group_blocking,medium,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,group_blocking,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,group_blocking,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,high,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,90.3873,90.3873,0.9994506141423894,20.96935433236529,0.7436791397542053,0.08891729228415955,6.948600000000002,0.0,0.0,,0.0,0.020841421207756176,0.1604853655796292
base,test,head_on_corridor,high,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,21.4452,21.4452,0.0,5.009108066558838,0.7047894691682344,0.08321598427079743,1.3486499999999957,0.0,0.0,,0.0,0.07282123249123769,3.9229256440812267e-08
base,test,head_on_corridor,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,low,GOAL_REACHED,5,5,0,5,5,3,0.6,valid_episodes,89.5104,89.5104,0.9982843478676346,20.9226129443539,0.7967931990158057,0.037931034032179206,2.4642000000000004,0.0,0.0,,0.0,0.05745717832883512,0.08880595063504736
base,test,head_on_corridor,low,COLLISION,5,5,0,5,5,2,0.4,valid_episodes,28.954349999999998,28.954349999999998,0.0,6.8427817821502686,0.707657931190282,0.061390965397987995,1.481849999999998,0.0,0.0,,0.0,0.0,3.7062151168936125e-08
base,test,head_on_corridor,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,medium,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,88.83774,88.83774,1.0,20.843401055545932,0.8227687986313151,0.0669493460732307,4.422239999999999,0.0,0.0,,0.0,0.030830859717641414,3.912940102245551e-08
base,test,head_on_corridor,medium,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,head_on_corridor,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,high,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.2107,89.2107,1.0,20.862277857557366,0.8883595194201275,0.09248021846752112,3.0902400000000023,0.0,0.0,,0.0,0.011426104567579077,0.007712687090727054
base,test,opposite_streams,high,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,low,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.13078,89.13078,1.0,20.863160091253707,0.9604697045728343,0.026589975837530193,0.9124199999999988,0.0,0.0,,0.0,0.03220700143460963,3.5711037877938145e-08
base,test,opposite_streams,low,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.1774,89.1774,1.0,20.848230737094678,0.8883454602731131,0.08072893095691014,3.1435199999999996,0.0,0.0,,0.0,0.02973731416699522,3.7509921248503566e-08
base,test,opposite_streams,medium,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
