episode_id,scenario_id,family,density,seed,planner_id,outcome,sample_count,sim_duration_s,start_distance_m,end_distance_m,progress_m,min_human_distance_m,min_lidar_m,raw_sha256
head_on_corridor_high_mining_seed00_base_dwb,head_on_corridor_high_mining_seed00,head_on_corridor,high,0,dwb,COLLISION,1138,112.92030000000001,21.0,8.394379615783691,12.605620384216309,0.6835195780557931,0.34310269355773926,2547f5c4e2e3ad55d6f8ef5b8e43065cd8116bd3ccfec4328d261ae5845a4e9a
head_on_corridor_high_mining_seed01_base_dwb,head_on_corridor_high_mining_seed01,head_on_corridor,high,1,dwb,COLLISION,242,23.3766,21.0,17.50438690185547,3.4956130981445312,0.5798063241590887,0.5065535306930542,f269f1491fb6564980d9cb3a01423fbe5b04178dce9e34a7e483cecad43118c3
head_on_corridor_high_mining_seed02_base_dwb,head_on_corridor_high_mining_seed02,head_on_corridor,high,2,dwb,COLLISION,260,25.1082,21.0,17.015113830566406,3.9848861694335938,0.5570396456864759,0.39988183975219727,c04de033d5485017a69c727a8d55739983b2a8df1427282f0eacad0bbc11fc0a
head_on_corridor_high_mining_seed03_base_dwb,head_on_corridor_high_mining_seed03,head_on_corridor,high,3,dwb,TIMEOUT,1208,119.94659999999999,21.0,15.222561836242676,5.777438163757324,1.5996612596438404,0.31751343607902527,46fefeba4bfd25eea53d9edeeb42d118c5e50794327a85551f9d9bcae57459ef
head_on_corridor_high_mining_seed04_base_dwb,head_on_corridor_high_mining_seed04,head_on_corridor,high,4,dwb,COLLISION,265,25.6077,21.0,17.952011108398438,3.0479888916015625,0.6139276499289693,0.16805040836334229,dfe7bf5858b323d6a811f52c257de40d4018196d8286c24ac1627695ce2172c2
head_on_corridor_high_mining_seed05_base_dwb,head_on_corridor_high_mining_seed05,head_on_corridor,high,5,dwb,COLLISION,246,23.709600000000002,21.0,17.224472045898438,3.7755279541015625,0.701466232101326,0.3343102037906647,baa54e45b5e6bf6655381f75ea06bf52cebf107b53b3ce5328dff6e9403ed603
head_on_corridor_high_mining_seed06_base_dwb,head_on_corridor_high_mining_seed06,head_on_corridor,high,6,dwb,TIMEOUT,1202,119.9466,21.0,17.45940399169922,3.5405960083007812,2.002620562794457,0.34865978360176086,56c8f95c1397c4397a907fdfcebeb6769fbd5809bd4ff8735e40e3124b56f7d7
head_on_corridor_high_mining_seed07_base_dwb,head_on_corridor_high_mining_seed07,head_on_corridor,high,7,dwb,COLLISION,245,23.609699999999997,21.0,17.263212203979492,3.736787796020508,0.705189511503907,0.28785544633865356,5a24d4891e864da6089030e434eb29e765d37b66a61c80fac004bf262f28dedf
head_on_corridor_high_mining_seed08_base_dwb,head_on_corridor_high_mining_seed08,head_on_corridor,high,8,dwb,TIMEOUT,1208,119.9133,21.0,18.905202865600586,2.094797134399414,0.8922531853814875,0.07999999821186066,4defa8e733b0cb6a47582fe3dc186152f177f97d13056cf206864f3fbdbf5b05
head_on_corridor_high_mining_seed09_base_dwb,head_on_corridor_high_mining_seed09,head_on_corridor,high,9,dwb,COLLISION,248,23.942700000000002,21.0,16.983604431152344,4.016395568847656,0.4201725724339783,0.30364853143692017,a632cb310c8fedea9f2972572e24de9c25549a3926c835fad6f00f2fa8b36e57
doorway_bottleneck_high_mining_seed00_base_dwb,doorway_bottleneck_high_mining_seed00,doorway_bottleneck,high,0,dwb,COLLISION,369,36.530100000000004,17.0,10.259830474853516,6.740169525146484,0.6160749222618832,0.45376506447792053,f974d72de7050c10ca6e7e61dc62e971ec7ddac3549c129ef760b265792c99fe
doorway_bottleneck_high_mining_seed01_base_dwb,doorway_bottleneck_high_mining_seed01,doorway_bottleneck,high,1,dwb,COLLISION,368,36.3969,17.0,10.266192436218262,6.733807563781738,0.7038620725599352,0.33541008830070496,32d5bc42e9a6e3bd9211c2235065ada7927be53a21ed1815a558446c508f95c5
doorway_bottleneck_high_mining_seed02_base_dwb,doorway_bottleneck_high_mining_seed02,doorway_bottleneck,high,2,dwb,COLLISION,371,36.763200000000005,17.0,9.841655731201172,7.158344268798828,0.49917778196441953,0.3399527370929718,4a6c214db8988f1dc8aff96a0ddb743c9001c6bf57f8b215292ed684f2d86dc7
doorway_bottleneck_high_mining_seed03_base_dwb,doorway_bottleneck_high_mining_seed03,doorway_bottleneck,high,3,dwb,COLLISION,358,35.431200000000004,17.0,10.409317970275879,6.590682029724121,0.49074000188768274,0.3475225865840912,5dc909d25aa38820e69cde07ab789609ffb489d0e88695e601f1765693bf7792
doorway_bottleneck_high_mining_seed04_base_dwb,doorway_bottleneck_high_mining_seed04,doorway_bottleneck,high,4,dwb,COLLISION,363,35.8974,17.0,10.494933128356934,6.505066871643066,0.666025096581997,0.31619974970817566,ec52a59cab674d75ae1c42ff0bf9ba0c4ffb920179bf72440d8671bb20b2e0d9
doorway_bottleneck_high_mining_seed05_base_dwb,doorway_bottleneck_high_mining_seed05,doorway_bottleneck,high,5,dwb,COLLISION,388,38.4282,17.0,9.860091209411621,7.139908790588379,0.5964667802928014,0.42975831031799316,96cc60adffd160d0ae2c78c387351cdb0e0c986d34ab01e49a5b104b5bcac80a
doorway_bottleneck_high_mining_seed06_base_dwb,doorway_bottleneck_high_mining_seed06,doorway_bottleneck,high,6,dwb,COLLISION,359,35.531099999999995,17.0,10.578911781311035,6.421088218688965,0.5217440697371963,0.3984445333480835,911677f414c8771db4e06f15dae1b28734a5ab22edf431a17d0863526364bee6
doorway_bottleneck_high_mining_seed07_base_dwb,doorway_bottleneck_high_mining_seed07,doorway_bottleneck,high,7,dwb,COLLISION,356,35.264700000000005,17.0,10.41468620300293,6.58531379699707,0.6242531854211928,0.4294009208679199,483142246651ccbb24094a3bba2c62810e718cfc305dfb9e1d14d3beab94cc3d
doorway_bottleneck_high_mining_seed08_base_dwb,doorway_bottleneck_high_mining_seed08,doorway_bottleneck,high,8,dwb,COLLISION,371,36.6966,17.0,9.91450309753418,7.08549690246582,0.5876218117760951,0.436991810798645,c1944c52e9608c0cfc9017bb042292a46c6ea1219e18b5a446140af5808b8c1c
doorway_bottleneck_high_mining_seed09_base_dwb,doorway_bottleneck_high_mining_seed09,doorway_bottleneck,high,9,dwb,COLLISION,380,37.629,17.0,10.071942329406738,6.928057670593262,0.5777698790301589,0.32960090041160583,dd5d56beafe0ba24dcd1450cad411c6e300d26202e645c40a2c168da9ea1231e
crossing_flow_high_mining_seed00_base_dwb,crossing_flow_high_mining_seed00,crossing_flow,high,0,dwb,COLLISION,537,53.546400000000006,21.0,12.24522876739502,8.75477123260498,0.7095452872721645,0.344044029712677,a289fb4b3083315885a0f288d2e73dd689720955b8ad747e1e7b7815b48287db
crossing_flow_high_mining_seed01_base_dwb,crossing_flow_high_mining_seed01,crossing_flow,high,1,dwb,COLLISION,557,55.5777,21.0,12.075826644897461,8.924173355102539,0.5358705985845175,0.5731996893882751,5738fb74ce2c59d3d041f19d017bf7023117933f9367a5999f8ea31056d53b01
crossing_flow_high_mining_seed02_base_dwb,crossing_flow_high_mining_seed02,crossing_flow,high,2,dwb,GOAL_REACHED,962,96.03720000000001,21.0,1.783504605293274,19.216495394706726,0.7337070265688678,0.5566942691802979,cfc6bcdcaa9aeab5909193cab71c8449344582c924e2b5cb762ce0cbc02a36f2
