episode_id,scenario_id,family,density,seed,planner_id,source_policy,outcome,sample_count,sim_duration_s,start_distance_m,end_distance_m,progress_m,min_human_distance_m,min_lidar_m,raw_sha256
crossing_flow_high_mining_seed09_reactive13_standard_dwb,crossing_flow_high_mining_seed09,crossing_flow,high,9,dwb,standard,TIMEOUT,1766,119.97990000000001,21.0,1.3749127388000488,19.62508726119995,1.308609984866966,1.1185036897659302,c00ff4d4652aeda9ef2dbf7ea76373e37fa53ae4115f9b4794a9344cf6aaae77
crossing_flow_high_mining_seed10_reactive13_standard_dwb,crossing_flow_high_mining_seed10,crossing_flow,high,10,dwb,standard,COLLISION,551,33.1002,21.0,13.836751937866211,7.163248062133789,0.7082334921065286,0.3927162289619446,2ed298d94b4587322b17f359b08df83aa20c9a79a0c540e0e546b4aeaa5ff082
crossing_flow_high_mining_seed11_reactive13_standard_dwb,crossing_flow_high_mining_seed11,crossing_flow,high,11,dwb,standard,TIMEOUT,1433,119.91329999999999,21.0,13.739500045776367,7.260499954223633,1.1683662808450803,0.17254137992858887,6a6c7b56216a78630d7b4d578c597921fbfa7237a2a083e58aa8c57ef461248a
crossing_flow_high_mining_seed12_reactive13_standard_dwb,crossing_flow_high_mining_seed12,crossing_flow,high,12,dwb,standard,COLLISION,599,32.6673,21.0,13.975781440734863,7.024218559265137,0.7051553770480864,0.9234279990196228,0125d9aa31b824040bea45385543bed0fef533a3fa963dac2123ca49e2811b32
crossing_flow_high_mining_seed13_reactive13_standard_dwb,crossing_flow_high_mining_seed13,crossing_flow,high,13,dwb,standard,TIMEOUT,1415,119.94659999999999,21.0,1.5242043733596802,19.47579562664032,1.0041981640091955,0.6744307279586792,754f1edcc25ef1e7124fb4fe4be360d1fd4c50d5e830440abfae91a40a8d82a6
crossing_flow_high_mining_seed14_reactive13_standard_dwb,crossing_flow_high_mining_seed14,crossing_flow,high,14,dwb,standard,TIMEOUT,1446,119.9133,21.0,1.5629017353057861,19.437098264694214,0.9878644145688907,0.6578280925750732,e137c158d3f15b0d96e7897d5ebf6beee4707db36824cccde8bad1cde1959488
crossing_flow_high_mining_seed15_reactive13_standard_dwb,crossing_flow_high_mining_seed15,crossing_flow,high,15,dwb,standard,TIMEOUT,1417,119.91329999999999,21.0,1.302805781364441,19.69719421863556,0.8008772438890414,0.5100836753845215,3790e8a61a60cab2c655d115649bc0c4474294cd99259039d93ffd4941f5e706
crossing_flow_high_mining_seed16_reactive13_standard_dwb,crossing_flow_high_mining_seed16,crossing_flow,high,16,dwb,standard,COLLISION,767,31.568399999999997,21.0,14.346920013427734,6.653079986572266,0.697587814262679,0.5255476236343384,1eddf6b5475fd8ba038d5ff2dbc6978501fa997803e3a3f79fb583489c74acee
crossing_flow_high_mining_seed17_reactive13_standard_dwb,crossing_flow_high_mining_seed17,crossing_flow,high,17,dwb,standard,TIMEOUT,1440,119.9466,21.0,1.3979171514511108,19.60208284854889,0.9705100373684881,0.6331151723861694,f7a32dd0050c788b7c0650a35d386989b48cd88ab91a73253c55a2972f27108a
crossing_flow_high_mining_seed18_reactive13_standard_dwb,crossing_flow_high_mining_seed18,crossing_flow,high,18,dwb,standard,COLLISION,564,30.7026,21.0,14.4063081741333,6.593691825866699,0.707703641001244,0.6561267375946045,bfb2df8a87ca092bd7b8eda328c9a65e77a1ac9b02c863ab09dcfd8257cd4197
crossing_flow_high_mining_seed19_reactive13_standard_dwb,crossing_flow_high_mining_seed19,crossing_flow,high,19,dwb,standard,COLLISION,584,31.102200000000003,21.0,14.329124450683594,6.670875549316406,0.6906634762005288,0.7093477249145508,f4d1428a13800f54b342874015d6a46fa9cc81b758e92045677e3f49dfeccd06
