scenario_id,seed,base_outcome,standard_outcome,heuristic_outcome,base_progress_m,standard_progress_m,heuristic_progress_m,base_min_human_distance_m,standard_min_human_distance_m,heuristic_min_human_distance_m
crossing_flow_high_mining_seed00,0,COLLISION,COLLISION,TIMEOUT,6.891441345214844,6.6281232833862305,19.003668546676636,0.7080939106224323,0.7010551925135079,1.2054127908590166
crossing_flow_high_mining_seed01,1,COLLISION,COLLISION,COLLISION,6.9069719314575195,6.789180755615234,6.8120012283325195,0.7088339192950314,0.7078044155398299,0.7066661527199155
crossing_flow_high_mining_seed02,2,TIMEOUT,TIMEOUT,TIMEOUT,19.634055852890015,10.194820404052734,19.504913210868835,0.9977080538981327,0.8352256816649906,1.0507713906164977
crossing_flow_high_mining_seed03,3,COLLISION,COLLISION,TIMEOUT,6.616154670715332,8.210808753967285,9.69112491607666,0.7015223964599181,0.6935944681177664,0.8707807586263179
crossing_flow_high_mining_seed04,4,COLLISION,COLLISION,COLLISION,6.653738975524902,6.8601274490356445,6.800569534301758,0.709193413647373,0.6982411367200149,0.6997612827376036
crossing_flow_high_mining_seed05,5,TIMEOUT,COLLISION,TIMEOUT,19.36747980117798,6.851120948791504,18.644257307052612,0.9409219040172467,0.704430361984503,0.9281840376057044
crossing_flow_high_mining_seed06,6,COLLISION,COLLISION,COLLISION,6.661388397216797,6.863048553466797,6.803391456604004,0.7072200603904117,0.7054166017897012,0.7014896113101633
crossing_flow_high_mining_seed07,7,TIMEOUT,TIMEOUT,TIMEOUT,19.502005100250244,19.52637505531311,19.6981999874115,1.0102522737339161,0.8006895707442642,1.0333253767976274
crossing_flow_high_mining_seed08,8,TIMEOUT,COLLISION,COLLISION,19.524424076080322,6.571969985961914,6.61140251159668,1.133765784662274,0.6880316110135993,0.7036681009977342
crossing_flow_high_mining_seed09,9,COLLISION,TIMEOUT,TIMEOUT,6.7556915283203125,19.62508726119995,19.713896870613098,0.6993767933231091,1.308609984866966,1.3367047509837697
crossing_flow_high_mining_seed10,10,COLLISION,COLLISION,COLLISION,8.886101722717285,7.163248062133789,7.095589637756348,0.7072306847973293,0.7082334921065286,0.7067675036675621
crossing_flow_high_mining_seed11,11,COLLISION,TIMEOUT,TIMEOUT,8.527728080749512,7.260499954223633,19.673685908317566,0.7003160087866792,1.1683662808450803,0.7793615354794845
crossing_flow_high_mining_seed12,12,COLLISION,COLLISION,COLLISION,6.701834678649902,7.024218559265137,6.54583740234375,0.7085051539156642,0.7051553770480864,0.6975453117309542
crossing_flow_high_mining_seed13,13,COLLISION,TIMEOUT,COLLISION,8.738035202026367,19.47579562664032,7.074389457702637,0.7083957003658867,1.0041981640091955,0.7045561958552982
crossing_flow_high_mining_seed14,14,COLLISION,TIMEOUT,TIMEOUT,6.6450605392456055,19.437098264694214,0.0,0.6897955427722408,0.9878644145688907,7.33531832608853
crossing_flow_high_mining_seed15,15,COLLISION,TIMEOUT,COLLISION,6.678445816040039,19.69719421863556,6.717552185058594,0.6900856397532779,0.8008772438890414,0.6953193433175858
crossing_flow_high_mining_seed16,16,TIMEOUT,COLLISION,TIMEOUT,19.651983380317688,6.653079986572266,6.529854774475098,0.773464779915747,0.697587814262679,0.7182118676769337
crossing_flow_high_mining_seed17,17,TIMEOUT,TIMEOUT,COLLISION,19.700482726097107,19.60208284854889,6.918905258178711,0.8262218727468736,0.9705100373684881,0.7094999972718978
crossing_flow_high_mining_seed18,18,TIMEOUT,COLLISION,TIMEOUT,19.30942952632904,6.593691825866699,19.43366253376007,1.0463536804582103,0.707703641001244,1.0709143186390326
crossing_flow_high_mining_seed19,19,COLLISION,COLLISION,TIMEOUT,6.662822723388672,6.670875549316406,19.59605300426483,0.7072193269244413,0.6906634762005288,0.8079934795911139
