family,episode_id,sample_index,timestamp_s,collision_risk,corridor_width_m_assumed,logged_subgoal_count,scan_subgoal_count,replayed_subgoal_count,logged_subgoal_ids,scan_subgoal_ids,replayed_subgoal_ids,logged_not_in_replay,replay_not_in_logged,exact_subgoal_match,logged_is_subset_of_replay,logged_empty_explained
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,534,53.413199999999996,0.75,0.65,0,0,0,,,,,,True,True,True
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,544,54.41219999999999,0.75,0.65,0,0,0,,,,,,True,True,True
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,554,55.4112,0.0,0.65,0,3,1,,"0,7,14",0,,0,False,True,False
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,564,56.410199999999996,0.0,0.65,0,3,1,,"0,7,14",0,,0,False,True,False
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,589,58.9077,0.0,0.65,0,3,2,,"0,1,7","0,1",,"0,1",False,True,False
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,684,68.3982,0.75,0.65,0,0,0,,,,,,True,True,True
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,709,70.929,0.0,0.65,0,3,2,,"0,1,7","0,1",,"0,1",False,True,False
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,789,78.92099999999999,0.75,0.65,0,0,0,,,,,,True,True,True
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,819,81.918,0.0,0.65,0,4,3,,"0,1,6,7","0,1,6",,"0,1,6",False,True,False
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,884,88.41149999999999,1.0,0.65,0,0,0,,,,,,True,True,True
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,335,32.8005,0.75,0.65,1,1,1,2,0,0,2,0,False,False,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,350,34.2657,0.75,0.65,0,1,1,,0,0,,0,False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,365,35.7642,0.75,0.65,0,1,1,,0,0,,0,False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,391,38.3283,0.75,0.65,0,1,1,,0,0,,0,False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,427,41.8248,0.0,0.65,0,6,5,,"0,1,3,4,6,7","0,1,3,4,6",,"0,1,3,4,6",False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,472,46.2537,0.75,0.65,2,2,2,"0,1","0,1","0,1",,,True,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,483,47.3526,0.0,0.65,5,10,8,"0,1,2,3,9","0,1,2,3,4,7,8,9,10,16","0,1,2,3,4,9,10,16",,"4,10,16",False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,493,48.3183,0.0,0.65,6,11,9,"0,1,2,3,9,10","0,1,2,3,4,7,8,9,10,16,17","0,1,2,3,4,9,10,16,17",,"4,16,17",False,True,False
recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,544,53.3466,0.75,2.5,1,1,1,0,0,0,,,True,True,False
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,53,5.328000000000003,0.75,0.65,0,0,0,,,,,,True,True,True
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,68,6.826500000000003,0.75,0.65,0,0,0,,,,,,True,True,True
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,77,7.7256,0.75,0.65,0,0,0,,,,,,True,True,True
narrow_corridor_head_on_deadlock,pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr,87,8.757900000000003,0.0,0.65,0,0,0,,,,,,True,True,True
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,374,37.429199999999994,0.75,0.65,0,0,0,,,,,,True,True,True
