family,episode_id,sample_index,timestamp_s,selected_action,step_index,constraint,pre,post,removed,added,collapse_source
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,534,53.413199999999996,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,534,53.413199999999996,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,544,54.41219999999999,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,544,54.41219999999999,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,554,55.4112,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,554,55.4112,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,564,56.410199999999996,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,564,56.410199999999996,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,589,58.9077,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,589,58.9077,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,684,68.3982,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,684,68.3982,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,709,70.929,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,709,70.929,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,789,78.92099999999999,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,789,78.92099999999999,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,819,81.918,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,819,81.918,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
