order	family_index	family	method	episode_id	scenario_id	scenario_path	scenario_sha256	runtime_scenario_path	seed	timeout_s	ros_domain_id
0	0	diagonal_cut_in_corridor	base	pgrr_extpilot_f00_diagonal_cut_in_corridor_low_train_r00_s91000_base	diagonal_cut_in_corridor_low_train_r00_s91000	outputs/student/extension_scenario_smoke/generated/arena/map_empty/diagonal_cut_in_corridor_low_train_r00_s91000.json	f267a116b5f76f70557b19aa5a39319252e533abb6a303cfd279b9edcd5c99a0	outputs/student/eight_family_pilot/scenarios/diagonal_cut_in_corridor_low_train_r00_s91000.json	91000	90	101
1	0	diagonal_cut_in_corridor	pgrr	pgrr_extpilot_f00_diagonal_cut_in_corridor_low_train_r00_s91000_pgrr	diagonal_cut_in_corridor_low_train_r00_s91000	outputs/student/extension_scenario_smoke/generated/arena/map_empty/diagonal_cut_in_corridor_low_train_r00_s91000.json	f267a116b5f76f70557b19aa5a39319252e533abb6a303cfd279b9edcd5c99a0	outputs/student/eight_family_pilot/scenarios/diagonal_cut_in_corridor_low_train_r00_s91000.json	91000	90	102
2	1	occluded_side_emergence	base	pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_base	occluded_side_emergence_low_train_r00_s91100	outputs/student/extension_scenario_smoke/generated/arena/map_empty/occluded_side_emergence_low_train_r00_s91100.json	b91632d1f9bfffade0a5b8fbca83467dacebd337858f55e2ad38297b2004b040	outputs/student/eight_family_pilot/scenarios/occluded_side_emergence_low_train_r00_s91100.json	91100	90	103
3	1	occluded_side_emergence	pgrr	pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr	occluded_side_emergence_low_train_r00_s91100	outputs/student/extension_scenario_smoke/generated/arena/map_empty/occluded_side_emergence_low_train_r00_s91100.json	b91632d1f9bfffade0a5b8fbca83467dacebd337858f55e2ad38297b2004b040	outputs/student/eight_family_pilot/scenarios/occluded_side_emergence_low_train_r00_s91100.json	91100	90	104
4	2	recurrent_bidirectional_crossing	base	pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_base	recurrent_bidirectional_crossing_medium_train_r00_s91210	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/recurrent_bidirectional_crossing_medium_train_r00_s91210.json	d5b48e7339c98e95d2c81e2c20520457d7b81623cf0636b4ace325a12cf51986	outputs/student/eight_family_pilot/scenarios/recurrent_bidirectional_crossing_medium_train_r00_s91210.json	91210	90	105
5	2	recurrent_bidirectional_crossing	pgrr	pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr	recurrent_bidirectional_crossing_medium_train_r00_s91210	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/recurrent_bidirectional_crossing_medium_train_r00_s91210.json	d5b48e7339c98e95d2c81e2c20520457d7b81623cf0636b4ace325a12cf51986	outputs/student/eight_family_pilot/scenarios/recurrent_bidirectional_crossing_medium_train_r00_s91210.json	91210	90	106
6	3	narrow_corridor_head_on_deadlock	base	pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_base	narrow_corridor_head_on_deadlock_low_train_r00_s91300	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/narrow_corridor_head_on_deadlock_low_train_r00_s91300.json	dd766d98c609006a5e2ad1f428cd3aff77e15f3f637158ea3509327a442ceb92	outputs/student/eight_family_pilot/scenarios/narrow_corridor_head_on_deadlock_low_train_r00_s91300.json	91300	90	107
7	3	narrow_corridor_head_on_deadlock	pgrr	pgrr_extpilot_f03_narrow_corridor_head_on_deadlock_low_train_r00_s91300_pgrr	narrow_corridor_head_on_deadlock_low_train_r00_s91300	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/narrow_corridor_head_on_deadlock_low_train_r00_s91300.json	dd766d98c609006a5e2ad1f428cd3aff77e15f3f637158ea3509327a442ceb92	outputs/student/eight_family_pilot/scenarios/narrow_corridor_head_on_deadlock_low_train_r00_s91300.json	91300	90	108
8	4	closing_gap_multi_pedestrian	base	pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_base	closing_gap_multi_pedestrian_medium_train_r00_s91410	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/closing_gap_multi_pedestrian_medium_train_r00_s91410.json	074718d078d8d8e3805340d5564fd34c213b8ab3b921e7ed6594e3ac53ae7146	outputs/student/eight_family_pilot/scenarios/closing_gap_multi_pedestrian_medium_train_r00_s91410.json	91410	90	109
9	4	closing_gap_multi_pedestrian	pgrr	pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr	closing_gap_multi_pedestrian_medium_train_r00_s91410	outputs/student/eight_family_geometry_draft/generated/arena/map_empty/closing_gap_multi_pedestrian_medium_train_r00_s91410.json	074718d078d8d8e3805340d5564fd34c213b8ab3b921e7ed6594e3ac53ae7146	outputs/student/eight_family_pilot/scenarios/closing_gap_multi_pedestrian_medium_train_r00_s91410.json	91410	90	110
