family_index,family,episode_id,sample_index,timestamp_s,action_id,action_name,allowed_action_ids_text,mask_parseable,only_wait_backup_allowed,alternative_action_available,selected_wait_or_backup,selected_action_in_logged_mask,next_event_origin,next_event_action,next_event_delay_s,immediately_followed_by_emergency_guard
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,534,53.413199999999996,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,544,54.41219999999999,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,WAIT,0.999,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,554,55.4112,21,WAIT,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,0.999,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,564,56.410199999999996,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,2.4975,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,589,58.9077,22,BACKUP,"21,22",True,True,False,True,True,OTHER,CONTINUE,2.8971,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,684,68.3982,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,2.5308,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,709,70.929,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,2.8971,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,789,78.92099999999999,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,2.997,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,819,81.918,22,BACKUP,"21,22",True,True,False,True,True,RECOVERY_LIFECYCLE,CONTINUE,2.8971,False
1,occluded_side_emergence,pgrr_extpilot_f01_occluded_side_emergence_low_train_r00_s91100_pgrr,884,88.41149999999999,22,BACKUP,"21,22",True,True,False,True,True,,,,False
2,recurrent_bidirectional_crossing,pgrr_extpilot_f02_recurrent_bidirectional_crossing_medium_train_r00_s91210_pgrr,335,32.8005,22,BACKUP,"21,22",True,True,False,True,True,LEARNED_POLICY,BACKUP,1.4652,False
