family,cycle_index,dominant_failure_at_trigger,duration_s,original_goal_progress_m,progress_class,completed_rejoin,action_signature,reason_signature,learned_decision_count
occluded_side_emergence,1,COLLISION_RISK,11.489,-0.726016,nonpositive,True,WAIT>BACKUP>CONTINUE>WAIT>BACKUP>CONTINUE,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.691 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.806 latency_ms=0.527>bc_directional_yield=active forward_clearance_m=0.695 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.808 latency_ms=0.152>bc_directional_yield=active forward_clearance_m=0.699 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.808 latency_ms=0.138>bc_directional_yield=active forward_clearance_m=0.701 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.137>bc_directional_yield=active forward_clearance_m=0.993 clear_frames=2; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=-0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.134>recovery_timeout>original_goal_restored",5
occluded_side_emergence,2,NO_POSITIVE_FAILURE_SCORE,8.525,-0.745729,nonpositive,True,WAIT>BACKUP>CONTINUE>BACKUP>CONTINUE,"emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.701 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.271>bc_directional_yield=active forward_clearance_m=0.993 clear_frames=2; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.137>recovery_action_complete>original_goal_restored",2
occluded_side_emergence,3,NO_POSITIVE_FAILURE_SCORE,7.492,-0.599798,nonpositive,True,WAIT>CONTINUE>BACKUP>CONTINUE,"emergency_stop>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.604 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.562>bc_directional_yield=active forward_clearance_m=0.937 clear_frames=1; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=-0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.248>recovery_action_complete>original_goal_restored",2
occluded_side_emergence,4,COLLISION_RISK,2.597,-0.17866,nonpositive,False,WAIT>CONTINUE>BACKUP,"emergency_stop>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=0.814 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=1.000 latency_ms=0.133",1
recurrent_bidirectional_crossing,1,COLLISION_RISK,9.923,-0.905795,nonpositive,True,BACKUP>CONTINUE,"bc_directional_yield=active forward_clearance_m=1.293 clear_frames=0; bc_yield_mask=active pre=2,21,22 post=21,22; bc_closing_side=left_occupied right_beams=0 left_beams=13 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.048 angular_gate_radps=0.200 raw_right=0 raw_left=1 latched_right=0 latched_left=1 pre=21,22 post=21,22; bc_recurrent_escape=unavailable cause=unilateral_flow count=1 minimum_lateral_m=0.250 lateral_ids=0,1,2,5,6,7,8,9,11,12,13,14,15,16,18,19,20 pre=21,22 final=21,22; bc_unilateral_backup=short_redecision maximum_s=1.000; bc_onnx confidence=0.831 latency_ms=0.354>bc_directional_yield=active forward_clearance_m=0.974 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=2 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=1 pre=21,22 post=21,22; bc_recurrent_escape=unavailable cause=unilateral_flow count=1 minimum_lateral_m=0.250 lateral_ids=0,1,2,5,6,7,8,9,11,12,13,14,15,16,18,19,20 pre=21,22 final=21,22; bc_unilateral_backup=short_redecision maximum_s=1.000; bc_onnx confidence=0.729 latency_ms=0.135>bc_directional_yield=active forward_clearance_m=1.138 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=-0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=1 pre=21,22 post=21,22; bc_recurrent_escape=unavailable cause=unilateral_flow count=1 minimum_lateral_m=0.250 lateral_ids=0,1,2,5,6,7,8,9,11,12,13,14,15,16,18,19,20 pre=21,22 final=21,22; bc_unilateral_backup=short_redecision maximum_s=1.000; bc_onnx confidence=0.750 latency_ms=0.145>bc_directional_yield=active forward_clearance_m=0.968 clear_frames=0; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.667 latency_ms=0.159>bc_directional_yield=active forward_clearance_m=3.611 clear_frames=2; bc_yield_mask=active pre=21,22 post=21,22; bc_closing_side=clear right_beams=5 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=21,22 post=21,22; bc_onnx confidence=0.834 latency_ms=0.134>recovery_timeout>original_goal_restored",5
recurrent_bidirectional_crossing,2,COLLISION_RISK,5.961,0.058452,positive,True,WAIT>CONTINUE>WAIT>CONTINUE,"emergency_stop>emergency_clear_continue_goal>bc_directional_yield=active forward_clearance_m=1.158 clear_frames=0; bc_yield_mask=active pre=0,1,21,22 post=0,21,22; bc_closing_side=clear right_beams=0 left_beams=3 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=0,21,22 post=0,21,22; bc_onnx confidence=0.878 latency_ms=0.138>bc_directional_yield=active forward_clearance_m=1.504 clear_frames=0; bc_yield_mask=active pre=0,1,2,3,9,21,22 post=0,21,22; bc_closing_side=clear right_beams=0 left_beams=1 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=0,21,22 post=0,21,22; bc_onnx confidence=0.841 latency_ms=0.138>bc_directional_yield=active forward_clearance_m=1.928 clear_frames=2; bc_yield_mask=active pre=0,1,2,3,9,10,21,22 post=0,21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=0,21,22 post=0,21,22; bc_onnx confidence=0.794 latency_ms=0.130>recovery_action_complete>original_goal_restored",3
recurrent_bidirectional_crossing,3,COLLISION_RISK,12.021,0.027204,positive,True,CONTINUE>SUBGOAL_0>CONTINUE,"failure_pending>bc_directional_yield=active forward_clearance_m=0.970 clear_frames=0; bc_yield_mask=active pre=0,21,22 post=0,21,22; bc_closing_side=clear right_beams=0 left_beams=0 minimum_beams=6 sector_deg=5.0:60.0 delta_m=0.200 maximum_range_m=4.000 angular_speed_radps=0.000 angular_gate_radps=0.200 raw_right=0 raw_left=0 latched_right=0 latched_left=0 pre=0,21,22 post=0,21,22; bc_side_commitment=set_right progress_window_m=8.000; bc_recurrent_escape=already_escape_only cause=retry count=2 minimum_lateral_m=0.250 lateral_ids=0,1,2,4,5,6,7,8,9,11,12,13,14,15,16,18,19,20 pre=0 final=0; bc_onnx confidence=1.000 latency_ms=0.135>recovery_action_complete>original_goal_restored",1
recurrent_bidirectional_crossing,4,NO_POSITIVE_FAILURE_SCORE,0.5,0.006262,positive,True,WAIT>CONTINUE,emergency_stop>emergency_clear_continue_goal,0
recurrent_bidirectional_crossing,5,NO_POSITIVE_FAILURE_SCORE,12.021,-0.173601,nonpositive,True,WAIT>BACKUP>CONTINUE>REPLAN>WAIT>CONTINUE>WAIT>BACKUP>WAIT>CONTINUE>WAIT>BACKUP>WAIT>BACKUP>WAIT>CONTINUE,emergency_stop>emergency_backup>emergency_clear_continue_goal>bc_onnx confidence=0.827 latency_ms=0.136>emergency_stop>safety_clear_resume_rejoin>emergency_stop>emergency_backup>emergency_stop>safety_clear_resume_rejoin>emergency_stop>emergency_backup>emergency_stop>emergency_backup>emergency_stop>emergency_turn_right>safety_clear_resume_rejoin>original_goal_restored,1
recurrent_bidirectional_crossing,6,NO_POSITIVE_FAILURE_SCORE,0.566,0.015058,positive,True,WAIT>CONTINUE,emergency_stop>emergency_clear_continue_goal,0
