fixture,stage,retained_subgoal_count,retained_subgoal_ids,removed_at_stage
open_control,map_connectivity,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
open_control,observable_scan,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
open_control,path_corridor,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
map_enclosed,map_connectivity,0,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
map_enclosed,observable_scan,0,,
map_enclosed,path_corridor,0,,
lidar_close_returns,map_connectivity,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
lidar_close_returns,observable_scan,0,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
lidar_close_returns,path_corridor,0,,
narrow_path_corridor,map_connectivity,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
narrow_path_corridor,observable_scan,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",
narrow_path_corridor,path_corridor,3,"3,10,17","0,1,2,4,5,6,7,8,9,11,12,13,14,15,16,18,19,20"
